configFile ./Integration/AlexaClientSDKConfig.json
Running app with log level: DEBUG9
2021-04-04 19:54:02.454 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.454 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.454 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.454 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.454 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.456 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.456 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.457 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.457 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.457 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.457 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.457 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.457 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.457 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.457 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.457 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.457 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.457 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.457 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.457 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.457 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.457 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.457 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.457 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.457 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.457 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.457 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.457 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.457 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.457 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.457 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.457 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.457 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.457 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.458 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.458 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.458 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.458 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.458 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
2021-04-04 19:54:02.458 [  5] 9 LibCurlHttpContentFetcher:transferThread:numTransfersLeft=1
